$x$,$y$,L,Parameters,R,Simulation,t
-0.8921952843666077,1.5510255098342896,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.49
-0.8878799080848694,1.5482659339904785,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.5
-0.8841738104820251,1.5459080934524536,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.5100000000000002
-0.8804624080657959,1.5435585975646973,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.52
-0.8767457604408264,1.5412174463272095,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.5300000000000002
-0.8730239272117615,1.5388845205307007,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.54
-0.8692968487739563,1.5365599393844604,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.5500000000000003
-0.8655645847320557,1.5342437028884888,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.56
-0.8618271350860596,1.5319358110427856,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.57
-0.8580845594406128,1.5296363830566406,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.58
-0.8543368577957153,1.5273452997207642,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.59
-0.8505840301513672,1.5250625610351562,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.6
-0.8473625183105469,1.5231128931045532,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.61
-0.844089150428772,1.5212515592575073,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.62
-0.8407663702964783,1.5194799900054932,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.63
-0.8373966217041016,1.5177994966506958,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.64
-0.8339824080467224,1.5162112712860107,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.65
-0.8305262327194214,1.514716625213623,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.66
-0.8270306587219238,1.5133165121078491,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.67
-0.8234983086585999,1.512012004852295,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.68
-0.8199317455291748,1.5108041763305664,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.69
-0.8163336515426636,1.5096937417984009,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.7
-0.8131608963012695,1.5088083744049072,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.71
-0.8099763989448547,1.5079662799835205,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.72
-0.8067806959152222,1.5071675777435303,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.73
-0.8035744428634644,1.5064125061035156,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.74
-0.800358235836029,1.5057010650634766,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.75
-0.7971326112747192,1.5050334930419922,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.7600000000000002
